,Genre,Gross,actors,directors,producers,rel_date,title,writers
0,Romantic Comedy,80452000,Claire Danes/Diane Keaton/Rachel McAdams/Craig T. Nelson/Sarah Jessica Parker/Luke Wilson,Thomas Bezucha,Michael London,2005-12-16,The Family Stone,Thomas Bezucha
1,Romantic Thriller,12400,Antonio Banderas/Emma Thompson,Christopher Hampton,,2004-06-11,Imagining Argentina,Christopher Hampton
2,Comedy Thriller,17962600,Jon Favreau/Cameron Diaz,Peter Berg,Ted Field/Scott Kroopf,1998-11-27,Very Bad Things,
3,Comedy,81985800,Adam Sandler/Katie Holmes/Al Pacino/Nick Swardson/Eugenio Derbez,Dennis Dugan,Todd Garner/Jack Giarraputo/Tim Herlihy/Steve Koren/Adam Sandler/Robert Smigel,2011-11-11,Jack and Jill,Steve Koren
4,Music Drama,26020000,Whitney Houston/Derek Luke,Salim Akil,Whitney Houston/T.D. Jakes,2012-08-17,Sparkle,Mara Brock Akil
5,Drama,9600,Stanley Tucci,Stanley Tucci,,2009-09-25,Blind Date,
6,Horror,27436300,Olivia Wilde/Mark Duplass,David Gelb,Jason Blum,2015-02-27,The Lazarus Effect,
7,Action,354593400,Tom Cruise/Jon Voight,Brian De Palma,Tom Cruise/Paula Wagner,1996-05-22,Mission: Impossible,David Koepp/Steven Zaillian
8,Unknown,223700,Sigourney Weaver,Douglas McGrath,Susan Cartsonis,2001-03-09,Company Man,
9,Sci-Fi Fantasy,13397200,Hugh Jackman/Rachel Weisz,Darren Aronofsky,Arnon Milchan/Nick Wechsler,2006-11-22,The Fountain,Darren Aronofsky
10,Period Drama,100639100,Winona Ryder/Kirsten Dunst/Claire Danes/Christian Bale/Susan Sarandon,Gillian Armstrong,Denise Di Novi,1994-12-21,Little Women,
11,Sci-Fi Comedy,82953000,Nicole Kidman/Matthew Broderick/Christopher Walken/Bette Midler/Glenn Close,Frank Oz,Donald De Line/Scott Rudin,2004-06-11,The Stepford Wives,Paul Rudnick
12,Foreign / Action,7271600,Zhang Ziyi,Wong Kar Wai,Wong Kar Wai,2013-08-23,The Grandmaster,Wong Kar Wai
13,Comedy,7186000,Lily Tomlin,Paul Weitz,,2015-08-21,Grandma,Paul Weitz
14,Animation,379899700,Tim Allen/Tom Hanks,John Lasseter,,1995-11-22,Toy Story,Joel Cohen/Pete Docter/John Lasseter/Alec Sokolow/Andrew Stanton/Joss Whedon
15,Animation,373995900,Mindy Kaling/Diane Lane,Pete Docter,John Lasseter/Jonas Rivera,2015-06-19,Inside Out,Josh Cooley/Pete Docter/Meg LaFauve
16,Crime Thriller,6786300,Gary Oldman,Peter Medak,Tim Bevan/Eric Fellner,1994-02-04,Romeo Is Bleeding,
17,War,13736300,Sam Worthington/Benjamin Bratt/James Franco,John Dahl,Lawrence Bender,2005-08-12,The Great Raid,Carlo Bernard/Doug Miro
18,Drama,150200,Holly Hunter/Chris Messina/Al Pacino,David Gordon Green,,2015-06-19,Manglehorn,
19,Drama,131977600,Al Pacino/Chris O'Donnell/Philip Seymour Hoffman,Martin Brest,,1992-12-23,Scent of a Woman,
20,Horror,36048400,Rose Byrne/Jeremy Renner/Idris Elba/Imogen Poots,Juan Carlos Fresnadillo,Danny Boyle/Alex Garland,2007-05-11,28 Weeks Later,Juan Carlos Fresnadillo/Rowan Joffe
21,Western,38740500,Tommy Lee Jones/Cate Blanchett/Aaron Eckhart,Ron Howard,Brian Grazer/Ron Howard,2003-11-26,The Missing,
22,Animation,409536900,Mike Myers/Cameron Diaz/Eddie Murphy,Andrew Adamson,Jeffrey Katzenberg,2001-05-16,Shrek,Ted Elliott/Terry Rossio
23,Fantasy Drama,82003900,Brad Pitt/Anthony Hopkins,Martin Brest,,1998-11-13,Meet Joe Black,
24,Family Comedy,28342400,,Tim Hill,Stephanie Allain/Kristine Belson,1999-07-14,Muppets from Space,
25,Thriller,64455800,Harrison Ford/Paul Bettany/Virginia Madsen,Richard Loncraine,Dana Goldberg,2006-02-10,Firewall,
26,Drama,17777700,Michael B. Jordan,Ryan Coogler,Forest Whitaker,2013-07-12,Fruitvale Station,Ryan Coogler
27,Comedy,131047500,Bill Murray,Frank Oz,Laura Ziskin,1991-05-17,What About Bob?,Alvin Sargent*
28,Drama,3069900,Greg Kinnear/Willem Dafoe/Maria Bello,Paul Schrader,Trevor Macy,2002-10-18,Auto Focus,
29,Drama,154900,Bryan Cranston/Helen Mirren,Taylor Hackford,Taylor Hackford,2010-06-30,Love Ranch,
30,Sports Drama,29984900,Kevin Costner/Jennifer Garner/Frank Langella/Chadwick Boseman/Sean 'P. Diddy' Combs,Ivan Reitman,Ali Bell/Joe Medjuck/Tom Pollock/Gigi Pritzker/Ivan Reitman,2014-04-11,Draft Day,Rajiv Joseph/Scott Rothman
31,Fantasy Drama,3230400,Anthony Hopkins/Jonathan Rhys Meyers,Julie Taymor,Julie Taymor,1999-12-25,Titus,Julie Taymor
32,Foreign,12389200,Franka Potente,Tom Tykwer,,1999-06-18,Run Lola Run,
33,Romantic Comedy,42072400,Michael Keaton/Christopher Reeve,Ron Underwood,,1994-12-16,Speechless,
34,Sports Drama,185637100,Denzel Washington/Hayden Panettiere/Kate Bosworth,Boaz Yakin,Jerry Bruckheimer,2000-09-29,Remember the Titans,
35,Action / Crime,100643000,Mark Wahlberg/Tyrese Gibson/Garrett Hedlund/Terrence Howard/Taraji P. Henson,John Singleton,Lorenzo di Bonaventura,2005-08-12,Four Brothers,
36,Comedy,21853800,Rob Riggle/Wilmer Valderrama/Kristen Wiig,Paul Feig,Lauren Schuler Donner,2006-12-08,Unaccompanied Minors,
37,Comedy,108551700,Luke Wilson/Will Ferrell/Vince Vaughn,Todd Phillips,Joe Medjuck/Todd Phillips/Tom Pollock/Ivan Reitman,2003-02-21,Old School,Todd Phillips
38,Horror,28792400,Karen Gillan/Brenton Thwaites/Katee Sackhoff,Mike Flanagan,Marc D. Evans/Trevor Macy,2014-04-11,Oculus,Mike Flanagan/Jeff Howard
39,Comedy,68160400,Kate Hudson/Anne Hathaway/Chris Pratt,Gary Winick,Arnon Milchan/Julie Yorn,2009-01-09,Bride Wars,
40,Horror,49534300,Gary Oldman/Cam Gigandet/Idris Elba/Carla Gugino,David S. Goyer,Michael Bay/Andrew Form/Brad Fuller,2009-01-09,The Unborn,David S. Goyer
41,Period Comedy,3084100,Jessica Biel/Ben Barnes/Colin Firth,Stephan Elliot,James D. Stern,2009-05-22,Easy Virtue,
42,Western,11489100,Josh Brolin/John Malkovich/Megan Fox/Michael Fassbender/Lance Reddick,Jimmy Hayward,Akiva Goldsman/Jon Jashni/Andrew Lazar/Thomas Tull,2010-06-18,Jonah Hex,Mark Neveldine/Brian Taylor
43,Romance,14874300,Anne Hathaway/Jim Sturgess/Romola Garai,Lone Scherfig,Nina Jacobson,2011-08-19,One Day,David Nicholls
44,Sci-Fi Thriller,23559800,Olivia Thirlby,Chris Gorak,Timur Bekmambetov/Arnon Milchan/Hutch Parker,2011-12-25,The Darkest Hour,Leslie Bohem/Jon Spaihts
45,Action Drama,52938900,Kevin Costner,Roger Donaldson,Marc Abraham/Kevin Costner/Michael De Luca,2000-12-22,Thirteen Days,
46,War,157717000,Tom Cruise,Edward Zwick,Tom Cruise/Ted Field/Scott Kroopf/Paula Wagner/Edward Zwick,2003-12-05,The Last Samurai,John Logan
47,Action / Adventure,14756600,John Cena,Renny Harlin,Mark Gordon,2009-03-27,12 Rounds,
48,Family Adventure,128291600,Adam Sandler/Guy Pearce/Russell Brand/Teresa Palmer/Courteney Cox,Adam Shankman,Jack Giarraputo/Jennifer Gibgot/Adam Sandler,2008-12-25,Bedtime Stories,Tim Herlihy
49,Sci-Fi Action,275410900,Mark Wahlberg/Helena Bonham Carter/Michael Clarke Duncan/Paul Giamatti,Tim Burton,Ralph Winter,2001-07-27,Planet of the Apes,
50,Comedy / Drama,49824500,Tom Wilkinson/Judi Dench/Dev Patel/Maggie Smith,John Madden,Jeff Skoll,2012-05-04,The Best Exotic Marigold Hotel,
51,Action Comedy,40180600,Robert DeNiro/Michelle Pfeiffer/Tommy Lee Jones/Dianna Agron,Luc Besson,Luc Besson/Ryan Kavanaugh/Martin Scorsese/Virginie Silla/Tucker Tooley,2013-09-13,The Family,Luc Besson
52,Foreign,1306400,Roberto Benigni,Roberto Benigni,,1992-10-09,Johnny Stecchino,
53,Thriller,152111300,Bruce Willis/Samuel L. Jackson,M. Night Shyamalan,Gary Barber/Roger Birnbaum/Barry Mendel/Sam Mercer/M. Night Shyamalan,2000-11-22,Unbreakable,M. Night Shyamalan
54,Family,69902400,Steve Carell/Jennifer Garner/Bella Thorne/Jennifer Coolidge,Miguel Arteta,Shawn Levy,2014-10-10,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Rob Lieber
55,War Drama,199117000,Liam Neeson/Ben Kingsley/Ralph Fiennes,Steven Spielberg,Kathleen Kennedy/Gerald R. Molen/Steven Spielberg,1993-12-15,Schindler's List,Steven Zaillian
56,Drama,15165500,Kevin Kline/Joan Allen/Sigourney Weaver/Tobey Maguire/Christina Ricci/Elijah Wood,Ang Lee,Ted Hope,1997-09-27,The Ice Storm,
57,Crime Drama,31864300,Keanu Reeves/Chris Evans/Hugh Laurie/Forest Whitaker/Naomie Harris/Cedric the Entertainer/Common,David Ayer,Arnon Milchan/Erwin Stoff/Michelle Weisler,2008-04-11,Street Kings,Kurt Wimmer
58,Crime Drama,77288000,Al Pacino/Sean Penn/John Leguizamo,Brian De Palma,,1993-11-12,Carlito's Way,David Koepp
59,Comedy,92108700,Ice Cube,Steve Carr,Ice Cube,2000-01-12,Next Friday,Ice Cube
60,Period Drama,6800,Catherine Zeta-Jones/Guy Pearce/Saoirse Ronan,Gillian Armstrong,,2008-07-11,Death Defying Acts,
61,Romantic Comedy,892300,Madonna/Elizabeth Banks,Guy Ritchie,Matthew Vaughn,2002-10-11,Swept Away,
62,Comedy,90979500,Will Ferrell/Kevin Hart/Craig T. Nelson,Etan Cohen,Will Ferrell/Chris Henchy/Adam McKay,2015-03-27,Get Hard,Etan Cohen
63,Thriller,138843100,Anthony Hopkins/Edward Norton/Ralph Fiennes/Philip Seymour Hoffman,Brett Ratner,,2002-10-04,Red Dragon,
64,Animation,52800,,Goro Miyazaki,,2010-08-13,Tales from Earthsea,Goro Miyazaki
65,Horror Comedy,44880900,Chris Hemsworth,Drew Goddard,Jason Clark/Joss Whedon,2012-04-13,The Cabin in the Woods,Drew Goddard/Joss Whedon
66,Thriller,56100,Robert DeNiro/Cillian Murphy/Elizabeth Olsen/Sigourney Weaver,Rodrigo Cortes,,2012-07-13,Red Lights,Rodrigo Cortes
67,Action / Adventure,103304600,Denzel Washington/Gary Oldman/Mila Kunis/Ray Stevenson,Albert Hughes/Allen Hughes,Susan Downey/Broderick Johnson/Andrew A. Kosove/Joel Silver/David Valdes,2010-01-15,The Book of Eli,Gary Whitta
68,Comedy / Drama,38400,John Krasinski/Dominic Cooper/Chris Messina,John Krasinski,,2009-09-25,Brief Interviews with Hideous Men,
69,Romance,142375600,Clint Eastwood/Meryl Streep,Clint Eastwood,Clint Eastwood/Kathleen Kennedy,1995-06-02,The Bridges of Madison County,Richard LaGravenese
70,Animation,85294500,Daniel Craig/Jamie Bell/Simon Pegg/Andy Serkis/Cary Elwes/Nick Frost,Steven Spielberg,Peter Jackson/Kathleen Kennedy/Steven Spielberg,2011-12-21,The Adventures of Tintin,Joe Cornish/Steven Moffat/Edgar Wright
71,Drama,14547400,Kate Winslet/Josh Brolin,Jason Reitman,Steven M. Rales/Jason Reitman,2014-01-31,Labor Day,Jason Reitman
72,Family Comedy,105104800,Bill Murray/Breckin Meyer/Jennifer Love Hewitt,Peter Hewitt,John Davis,2004-06-11,Garfield: The Movie,Joel Cohen/Alec Sokolow
73,Comedy / Drama,31177900,Diane Lane,Mike Binder,Jeffrey Silver,1993-04-23,Indian Summer,Mike Binder
74,Comedy,48753400,Kevin James/Salma Hayek,Frank Coraci,Todd Garner/Kevin James,2012-10-12,Here Comes the Boom,Kevin James/Allan Loeb/Rock Reuben
75,Thriller,2557100,Michael K. Williams/Jeremy Renner/Mary Elizabeth Winstead/Michael Sheen/Rosemarie DeWitt,Michael Cuesta,Peter Landesman,2014-10-10,Kill the Messenger,Peter Landesman
76,Drama,19107400,Logan Lerman/Emma Watson/Ezra Miller/Paul Rudd,Stephen Chbosky,Stephen Chbosky/John Malkovich,2012-09-21,The Perks of Being a Wallflower,Stephen Chbosky
77,Comedy / Drama,1930500,Michelle Monaghan,Sofia Coppola,Roman Coppola,2010-12-22,Somewhere,Sofia Coppola
78,Western,2033400,Johnny Depp/Lance Henriksen,Jim Jarmusch,,1996-05-10,Dead Man,Jim Jarmusch
79,Comedy / Drama,103739700,Sandra Bullock/Ashley Judd/James Garner,Callie Khouri,Hunt Lowry/Lisa Stewart,2002-06-07,Divine Secrets of the Ya-Ya Sisterhood,Callie Khouri
80,Comedy,256800,Robin Williams,Bobcat Goldthwait,,2009-08-21,World's Greatest Dad,Bobcat Goldthwait
81,Sci-Fi Comedy,4402200,Aubrey Plaza/Mark Duplass/Jake Johnson/Kristen Bell,Colin Trevorrow,Derek Connolly/Jay Duplass/Mark Duplass/Colin Trevorrow,2012-06-08,Safety Not Guaranteed,Derek Connolly
82,Sports Drama,511400,Michael Sheen/Jim Broadbent,Tom Hooper,Peter Morgan,2009-10-09,The Damned United,Peter Morgan
83,Action / Adventure,308700600,Patrick Stewart/Hugh Jackman/Ian McKellen/Halle Berry/Famke Janssen/James Marsden/Anna Paquin/Rebecca Romijn/Brian Cox,Bryan Singer,Avi Arad/Tom DeSanto/Lauren Schuler Donner/Kevin Feige/Stan Lee/Bryan Singer/Ralph Winter,2003-05-02,X2: X-Men United,Michael Dougherty/Dan Harris/David Hayter/Zak Penn*
84,Romance,149898100,Ralph Fiennes/Willem Dafoe/Colin Firth,Anthony Minghella,,1996-11-15,The English Patient,
85,Action Horror,96548700,Mike Vogel/Jessica Lucas,Matt Reeves,J.J. Abrams/Bryan Burk,2008-01-18,Cloverfield,Drew Goddard
86,Drama,3993400,Samuel L. Jackson/Josh Hartnett,Rod Lurie,Brad Fischer,2007-08-24,Resurrecting the Champ,Allison Burnett
87,Drama,70579500,Christian Bale/Steve Carell/Ryan Gosling/Brad Pitt/Melissa Leo/Marisa Tomei,Adam McKay,Dede Gardner/Jeremy Kleiner/Brad Pitt,2015-12-11,The Big Short,Adam McKay
88,Period Drama,52704000,Edward Norton/Jessica Biel/Paul Giamatti/Rufus Sewell,Neil Burger,Brian Koppelman/David Levien/Michael London/Cathy Schulman/Bob Yari,2006-08-18,The Illusionist,Neil Burger
89,Music Drama,43315800,Jessica Alba,Bille Woodruff,Marc Platt,2003-12-05,Honey,
90,Animation,68158600,,Kevin Munroe,,2007-03-23,TMNT,Kevin Munroe
91,Romantic Comedy,156942000,Vince Vaughn/Jennifer Aniston/Jason Bateman/Jon Favreau/Justin Long,Peyton Reed,Scott Stuber/Vince Vaughn,2006-06-02,The Break-Up,Jeremy Garelick/Jay Lavender
92,Horror,64720100,Cillian Murphy/Naomie Harris/Brendan Gleeson,Danny Boyle,,2003-06-27,28 Days Later,Alex Garland
93,Fantasy Drama,3685400,Brendan Gleeson,Neil Jordan,,1998-04-03,The Butcher Boy,
94,Family Adventure,38552000,Justin Long/John Leguizamo/Karl Urban,Barry Cook/Neil Nightingale,,2013-12-20,Walking with Dinosaurs,John Collee
95,Family Adventure,163759100,Jim Carrey/Meryl Streep/Emily Browning/Jude Law,Brad Silberling,Scott Aversano/Scott Rudin/Barry Sonnenfeld/Jim Van Wyck,2004-12-17,Lemony Snicket's A Series of Unfortunate Events,
96,Sci-Fi Horror,38115300,Dwayne Johnson/Karl Urban/Rosamund Pike,Andrzej Bartkowiak,Lorenzo di Bonaventura/John Wells,2005-10-21,Doom,
97,Family,44768900,Thomas Haden Church,Boaz Yakin,,2015-06-26,Max,
98,Drama,1568300,Elizabeth Banks/Glenn Close/James Marsden,Chris Terrio,,2005-06-17,Heights,
99,Comedy,968900,Paul Rudd/Jessica Alba/Winona Ryder/Adam Brody/Famke Janssen/Liev Schreiber/Jon Hamm,David Wain,David Wain,2007-08-03,The Ten,David Wain
100,Horror,51731800,Ethan Hawke,Scott Derrickson,Jason Blum/Brian Kavanaugh-Jones,2012-10-12,Sinister,C. Robert Cargill/Scott Derrickson
101,Romantic Comedy,76942700,Kate Beckinsale/John Corbett/John Cusack/Bridget Moynahan,Peter Chelsom,Simon Fields,2001-10-05,Serendipity,
102,Comedy,72613000,Wesley Snipes/Patrick Swayze/John Leguizamo,Beeban Kidron,,1995-09-08,"To Wong Foo, Thanks for Everything, Julie Newmar",
103,Animation,7273900,"Keanu Reeves/Robert Downey, Jr./Woody Harrelson/Winona Ryder",Richard Linklater,Jennifer Fox/John Sloss/Jonah Smith/Steven Soderbergh/Erwin Stoff,2006-07-07,A Scanner Darkly,
104,Animation,8798500,Kelsey Grammer,Will Finn/Dan St. Pierre,,2014-05-09,Legends of Oz: Dorothy's Return,Adam Balsam/Randi Barnes
105,Romantic Comedy,52900700,Kevin Hart/Michael Ealy/Regina Hall/Paula Patton,Steve Pink,Will Gluck/Will Packer,2014-02-14,About Last Night,Leslye Headland
106,Drama,585900,Kate Winslet/Matthias Schoenaerts/Alan Rickman/Stanley Tucci,Alan Rickman,,2015-06-26,A Little Chaos,
107,Action,355266100,Tony Jaa/Vin Diesel/Paul Walker/Dwayne Johnson/Michelle Rodriguez/Jordana Brewster/Tyrese Gibson/Chris 'Ludacris' Bridges/Lucas Black/Jason Statham/Kurt Russell,James Wan,Vin Diesel/Neal H. Moritz/Thomas Tull,2015-04-03,Furious 7,Chris Morgan
108,Fantasy,96697900,Hayden Christensen/Jamie Bell/Rachel Bilson/Samuel L. Jackson,Doug Liman,Simon Kinberg/Arnon Milchan,2008-02-14,Jumper,David S. Goyer/Simon Kinberg
109,Animation,87396600,Dakota Fanning,Henry Selick,,2009-02-06,Coraline,Neil Gaiman*/Henry Selick
110,Drama / Thriller,28510100,Chris O'Donnell,James Foley,John Davis/Brian Grazer/Ron Howard,1996-10-11,The Chamber,
111,Action Horror,58721400,Dominic Cooper,Gary Shore,Michael De Luca/Jon Jashni/Thomas Tull,2014-10-10,Dracula Untold,Matt Sazama/Burk Sharpless
112,Action Thriller,342560400,Tom Hanks/Kevin Bacon/Ed Harris,Ron Howard,Michael Bostick*/Brian Grazer,1995-06-30,Apollo 13,
113,Action Drama,38410700,Ryan Gosling/Carey Mulligan/Bryan Cranston/Albert Brooks/Oscar Isaac/Ron Perlman,Nicolas Winding Refn,Marc Platt/Gigi Pritzker/Peter Schlessel,2011-09-16,Drive,Hossein Amini
114,Animation,452068200,Tom Hanks/Michael Keaton/Tim Allen,Lee Unkrich,Darla K. Anderson/John Lasseter,2010-06-18,Toy Story 3,Michael Arndt/John Lasseter/Andrew Stanton/Lee Unkrich
115,Romantic Comedy,82329100,Cameron Diaz/Kate Winslet/Jude Law/Jack Black/Rufus Sewell/Edward Burns/John Krasinski,Nancy Meyers,Nancy Meyers,2006-12-08,The Holiday,Nancy Meyers
116,Comedy,36225500,Jason Bateman/Tina Fey/Rose Byrne/Timothy Olyphant,Shawn Levy,Shawn Levy/Jonathan Tropper,2014-09-19,This is Where I Leave You,Jonathan Tropper
117,Sci-Fi Action,145481600,Christian Bale/Sam Worthington/Anton Yelchin/Common/Bryce Dallas Howard,McG,Dan Lin/Jeffrey Silver,2009-05-21,Terminator Salvation,
118,Comedy / Drama,8167200,Winona Ryder,Jim Abrahams,,1990-10-12,"Welcome Home, Roxy Carmichael",
119,Drama / Thriller,47182200,Frank Grillo/Mel Gibson,Martin Campbell,Tim Headington/Graham King,2010-01-29,Edge of Darkness,William Monahan
120,Sci-Fi Thriller,22922600,Nicolas Cage/Julianne Moore/Jessica Biel,Lee Tamahori,Nicolas Cage/Todd Garner/Graham King,2007-04-27,Next,Gary Goldman/Jonathan Hensleigh
121,Comedy,68400,Elizabeth Banks/Tobey Maguire/Laura Linney,Jacob Aaron Estes,,2012-11-02,The Details,Jacob Aaron Estes
122,Period Action,86553700,James Purefoy/Heath Ledger/Rufus Sewell/Paul Bettany,Brian Helgeland,Todd Black/Brian Helgeland,2001-05-11,A Knight's Tale,Brian Helgeland
123,Historical Drama,12079600,Emily Blunt/Paul Bettany/Jim Broadbent/Mark Strong,Jean-Marc Vallee,Tim Headington/Graham King/Martin Scorsese,2009-12-18,The Young Victoria,
124,Action Drama,72727100,Kevin Costner/Ashton Kutcher,Andrew Davis,Beau Flynn/Tripp Vinson,2006-09-29,The Guardian,
125,Romantic Comedy,18412800,Alan Alda/Woody Allen/Drew Barrymore/Lukas Haas/Goldie Hawn/Edward Norton/Julia Roberts,Woody Allen,,1996-12-06,Everyone Says I Love You,Woody Allen
126,Thriller,287612700,Tom Hanks/Ian McKellen/Paul Bettany/Alfred Molina,Ron Howard,Brian Grazer/Ron Howard,2006-05-19,The Da Vinci Code,Akiva Goldsman
127,Comedy / Drama,12197500,Johnny Depp/Sarah Jessica Parker,Tim Burton,Tim Burton/Denise Di Novi,1994-09-30,Ed Wood,Scott Alexander/Larry Karaszewski
128,Crime Drama,1428900,Mark Wahlberg/Joaquin Phoenix/Charlize Theron,James Gray,Nick Wechsler,2000-10-20,The Yards,James Gray/Matt Reeves
129,Adventure,43256600,Eric Bana/Cate Blanchett/Saoirse Ronan,Joe Wright,,2011-04-08,Hanna,
130,Comedy,47314800,Kate Upton,The Farrelly Bros.,The Farrelly Bros./Bradley Thomas/Charles B. Wessler,2012-04-13,The Three Stooges,Mike Cerrone/The Farrelly Bros.
131,Crime Comedy,32310600,Ewen Bremner/Ewan McGregor,Danny Boyle,,1996-07-19,Trainspotting,
132,Horror,18750100,Christopher Reeve/Mark Hamill,John Carpenter,,1995-04-28,Village of the Damned,
133,Drama,7308000,Jennifer Lawrence,Debra Granik,,2010-06-11,Winter's Bone,Debra Granik
134,Drama,44404600,Brad Pitt/Cate Blanchett/Gael Garcia Bernal,Alejandro González Iñárritu,Steve Golin/Alejandro González Iñárritu/Jon Kilik,2006-10-27,Babel,Guillermo Arriaga
135,Animation,177713800,Jack Black/Angelina Jolie/Dustin Hoffman/Jackie Chan/Seth Rogen/Lucy Liu/Gary Oldman/Michelle Yeoh,Jennifer Yuh Nelson,,2011-05-26,Kung Fu Panda 2,Jonathan Aibel/Glenn Berger
136,Sci-Fi Thriller,285241700,George Clooney/Sandra Bullock,Alfonso Cuaron,Alfonso Cuaron/David Heyman/Stephen Jones,2013-10-04,Gravity,Alfonso Cuaron/Jonas Cuaron
137,Animation,291611800,,Chris Buck,,1999-06-16,Tarzan,
138,Drama,18795700,Hilary Swank/Chloe Sevigny/Peter Sarsgaard,Kimberly Peirce,John Sloss,1999-10-08,Boys Don't Cry,Kimberly Peirce
139,Comedy,57323600,Bow Wow/Tyler Perry,Tyler Perry,Ozzie Areu,2011-04-22,Tyler Perry's Madea's Big Happy Family,Tyler Perry
140,Comedy / Drama,3961500,Stanley Tucci/Parker Posey/Liev Schreiber,Greg Mottola,David Heyman/Steven Soderbergh,1997-03-05,The Daytrippers,
141,Comedy,81165500,Paul Rudd/Christopher Mintz-Plasse/Elizabeth Banks,David Wain,Luke Greenfield/Mary Parent/Scott Stuber,2008-11-07,Role Models,Timothy Dowling/David Wain
142,Crime Thriller,1139600,Val Kilmer/Peter Sarsgaard,D.J. Caruso,Frank Darabont,2002-04-26,The Salton Sea,
143,Romantic Comedy,12628700,Forest Whitaker/Katie Holmes/Michael Keaton,Forest Whitaker,John Davis/Wyck Godfrey/Arnon Milchan,2004-09-24,First Daughter,Jessica Bendinger
144,Crime Comedy,13812600,,Ron Underwood,,2005-11-23,In the Mix,
145,Period Comedy,27398300,Kevin Kline/Michelle Pfeiffer/Stanley Tucci/Anna Friel/Christian Bale/Sam Rockwell,Michael Hoffman,Arnon Milchan,1999-05-14,A Midsummer Night's Dream,
146,Comedy,260800,Jason Bateman/Nicole Kidman/Christopher Walken,Jason Bateman,,2016-04-29,The Family Fang,
147,Action / Adventure,280597800,Jennifer Lawrence/Josh Hutcherson/Liam Hemsworth/Woody Harrelson/Philip Seymour Hoffman/Julianne Moore/Elizabeth Banks/Jena Malone/Jeffrey Wright/Stanley Tucci,Francis Lawrence,,2015-11-20,The Hunger Games: Mockingjay - Part 2,Peter Craig/Danny Strong
148,Drama,39300,Laura Linney/Michelle Williams/Ethan Hawke/Josh Zuckerman,Ethan Hawke,,2007-08-24,The Hottest State,
149,Sports Drama,15230700,Heath Ledger/America Ferrera,Catherine Hardwicke,,2005-06-03,Lords of Dogtown,
150,Romantic Comedy,26597400,Adam Sandler/Philip Seymour Hoffman,Paul Thomas Anderson,Paul Thomas Anderson/Daniel Lupi/JoAnne Sellar,2002-10-11,Punch-Drunk Love,Paul Thomas Anderson
151,Period Adventure,114671200,Russell Crowe/Cate Blanchett/William Hurt/Mark Strong,Ridley Scott,Brian Grazer/Ryan Kavanaugh/Ridley Scott,2010-05-14,Robin Hood,Brian Helgeland
152,Drama / Thriller,9149300,Kodi Smit-McPhee/Michael K. Williams/Viggo Mortensen/Guy Pearce/Robert Duvall/Charlize Theron,John Hillcoat,Nick Wechsler,2009-11-25,The Road,
153,Sci-Fi Adventure,84710700,Guy Pearce,Simon Wells,John Logan/David Valdes,2002-03-08,The Time Machine,John Logan
154,Thriller,5942500,Eric Bana/Rebecca Hall/Jim Broadbent/Julia Stiles,John Crowley,Tim Bevan/Eric Fellner,2013-08-28,Closed Circuit,Steven Knight
155,Comedy,2717700,Nick Swardson/Christina Ricci,Tom Brady,Jack Giarraputo/Adam Sandler/Nick Swardson,2011-09-09,Bucky Larson: Born to Be a Star,Adam Sandler/Nick Swardson
156,Drama,6484900,Anthony Hopkins/Helen Mirren/Scarlett Johansson/Toni Collette/Jessica Biel,Sacha Gervasi,Ali Bell/Joe Medjuck/Tom Pollock,2012-11-23,Hitchcock,John J. McLaughlin
157,Drama,3180300,Hayden Christensen/Peter Sarsgaard/Rosario Dawson/Chloe Sevigny,Billy Ray,Tom Cruise/Paula Wagner,2003-10-31,Shattered Glass,Billy Ray
158,Animation,414264300,Tom Hanks/Tim Allen,John Lasseter/Lee Unkrich,,1999-11-19,Toy Story 2,Pete Docter/John Lasseter/Andrew Stanton
159,Drama,1441200,Brit Marling,Mike Cahill,Mike Cahill/Brit Marling,2011-07-22,Another Earth,Mike Cahill/Brit Marling
160,Comedy,60802900,Chris Klein,Jon Hurwitz/Hayden Schlossberg,Chris Moore/Chris Weitz/Paul Weitz,2012-04-06,American Reunion,Jon Hurwitz/Hayden Schlossberg
161,Period Drama,6969300,Nicole Kidman/John Malkovich/Martin Donovan/Christian Bale,Jane Campion,Steve Golin,1996-12-27,The Portrait of a Lady,
162,Sci-Fi Action,31778900,Lance Henriksen,Martin Campbell,Gale Anne Hurd,1994-04-29,No Escape,
163,Action Comedy,16418700,Charlie Sheen/Cary Elwes,Adam Rifkin,,1994-03-04,The Chase,Adam Rifkin
164,Documentary,29000,,Charles Ferguson,,2016-06-03,Time to Choose,
165,Comedy,36693300,Cate Blanchett/Sally Hawkins/Alec Baldwin/Peter Sarsgaard,Woody Allen,,2013-07-26,Blue Jasmine,Woody Allen
166,Period Drama,92716700,Tobey Maguire/Charlize Theron/Paul Rudd/Michael Caine,Lasse Hallstrom,Bobby Cohen,1999-12-10,The Cider House Rules,
167,Drama,20726000,Tom Holland/Ewan McGregor/Naomi Watts,J.A. Bayona,,2012-12-21,The Impossible,
168,Historical Epic,150253600,Mel Gibson/Brendan Gleeson,Mel Gibson,,1995-05-24,Braveheart,Randall Wallace
