,Genre,Gross,actors,directors,producers,rel_date,title,writers
447,Music Drama,82548300,Zoe Saldana,Charles Stone III,,2002-12-13,Drumline,
448,Period Drama,15833900,Paul Newman,James Ivory,,1990-11-23,Mr. & Mrs. Bridge,Ruth Prawer Jhabvala
449,Horror Thriller,25000,Hayden Christensen/Thandie Newton/John Leguizamo,Brad Anderson,,2011-02-18,Vanishing on 7th Street,
450,Period Adventure,19764800,Frank Langella,Renny Harlin,Laurence Mark,1995-12-22,Cutthroat Island,Bruce A. Evans*/Raynold Gideon*
451,Romance,327371700,Kristen Stewart/Robert Pattinson/Taylor Lautner/Ashley Greene/Billy Burke/Kellan Lutz/Jackson Rathbone/Dakota Fanning,David Slade,Marty Bowen/Wyck Godfrey/Karen Rosenfelt,2010-06-30,The Twilight Saga: Eclipse,Melissa Rosenberg
452,Family Adventure,86393100,Kurt Russell/Mary Elizabeth Winstead,Mike Mitchell,,2005-07-29,Sky High,
453,Thriller,208989900,Julia Roberts,Joseph Ruben,Jeffrey Chernov,1991-02-08,Sleeping with the Enemy,
454,Period Drama,2539900,Adrien Brody,Steven Soderbergh,Albert Berger/Ron Yerxa,1993-08-20,King of the Hill,Steven Soderbergh
455,Action Thriller,245773800,Matt Damon/Franka Potente/Brian Cox/Julia Stiles/Karl Urban/Joan Allen,Paul Greengrass,Patrick Crowley/Doug Liman/Frank Marshall,2004-07-23,The Bourne Supremacy,Tony Gilroy
456,Comedy / Drama,17674900,Jennifer Aniston/Frances McDormand,Nicole Holofcener,Ted Hope,2006-04-07,Friends with Money,Nicole Holofcener
457,Drama,1106700,Minka Kelly/Giovanni Ribisi,Bob Yari,,2016-04-29,Papa: Hemingway in Cuba,
458,Comedy,23246600,Guy Pearce,Stephan Elliot,,1994-08-10,"The Adventures of Priscilla, Queen of the Desert",
459,Comedy,166832200,Jennifer Aniston/Owen Wilson,David Frankel,Arnon Milchan/Karen Rosenfelt,2008-12-25,Marley and Me,Scott Frank/Don Roos
460,Action Comedy,88183400,Jake Johnson/Rob Riggle,Luke Greenfield,Luke Greenfield/Simon Kinberg/Nicholas Thomas,2014-08-13,Let's Be Cops,Luke Greenfield/Nicholas Thomas
461,Unknown,622000,Woody Harrelson/Marisa Tomei/Goran Visnjic,Michael Winterbottom,,1997-11-26,Welcome to Sarajevo,
462,Thriller,209727600,Julia Roberts/Denzel Washington,Alan J. Pakula,Pieter Jan Brugge,1993-12-17,The Pelican Brief,
463,Sci-Fi,95912300,George Clooney/Hugh Laurie,Brad Bird,Brad Bird/Jeffrey Chernov/Damon Lindelof,2015-05-22,Tomorrowland,Brad Bird/Damon Lindelof
464,Fantasy Comedy,79811100,Andy Serkis/Jennifer Garner/Mark Ruffalo,Gary Winick,Todd Garner,2004-04-23,13 Going on 30,
465,Comedy,9420000,Andy Samberg/Akiva Schaffer/Jorma Taccone,Akiva Schaffer/Jorma Taccone,Judd Apatow/Rodney Rothman/Andy Samberg/Akiva Schaffer/Jorma Taccone,2016-06-03,Popstar: Never Stop Never Stopping,
466,Action Thriller,26081700,Sylvester Stallone/Arnold Schwarzenegger/James Caviezel/50 Cent/Amy Ryan,Mikael Hafstrom,Mark Canton/Randall Emmett/George Furla,2013-10-18,Escape Plan,Miles Chapman/Jason Keller
467,Horror,71525100,Mary Elizabeth Winstead,James Wong,James Wong,2006-02-10,Final Destination 3,James Wong
468,Sci-Fi Comedy,41220900,Jesse Plemons/Simon Pegg/Nick Frost/Seth Rogen/Jason Bateman/Kristen Wiig/Sigourney Weaver,Greg Mottola,Tim Bevan/Eric Fellner,2011-03-18,Paul,Nick Frost/Simon Pegg
469,Western,211221800,Clint Eastwood/Morgan Freeman,Clint Eastwood,Clint Eastwood/David Valdes,1992-08-07,Unforgiven,
470,Comedy,243068800,Robin Williams,Mike Nichols,Mike Nichols,1996-03-08,The Birdcage,
471,Horror Comedy,157944100,Kevin Hart/Anna Faris/Regina Hall/Charlie Sheen/Leslie Nielsen,David Zucker,Robert K. Weiss,2003-10-24,Scary Movie 3,Jason Friedberg*/Craig Mazin/Aaron Seltzer*
472,Comedy,10857100,Lena Headey,Burr Steers,Natalie Portman,2016-02-05,Pride and Prejudice and Zombies,Burr Steers
473,Fantasy,388971500,Daniel Radcliffe/Rupert Grint/Emma Watson/Kenneth Branagh,Chris Columbus,Chris Columbus/David Heyman,2002-11-15,Harry Potter and the Chamber of Secrets,Steve Kloves
474,Comedy,60862900,Justin Timberlake/Mila Kunis/Woody Harrelson,Will Gluck,Will Gluck,2011-07-22,Friends with Benefits,Will Gluck/Keith Merryman/David A. Newman
475,Romantic Comedy,23708500,Kirsten Dunst/Paul Bettany/Jon Favreau,Richard Loncraine,Tim Bevan/Eric Fellner,2004-09-17,Wimbledon,Adam Brooks
476,Animation,196983300,Nicolas Cage/Emma Stone/Ryan Reynolds/Clark Duke,Kirk De Micco/Chris Sanders,Kristine Belson/Jane Hartwell,2013-03-22,The Croods,Kirk De Micco/Chris Sanders
477,Crime Comedy,42373300,Matt Dillon/Nicole Kidman/Joaquin Phoenix,Gus Van Sant,Laura Ziskin,1995-09-29,To Die For,
478,Music Drama,33070900,Denzel Washington/Wesley Snipes,Spike Lee,,1990-08-03,Mo' Better Blues,
479,Unknown,258300,William H. Macy,David Mamet,,1994-11-04,Oleanna,David Mamet
480,War Drama,3185800,Ethan Hawke,Keith Gordon,Marc Abraham/Tom Rosenberg,1992-04-24,A Midnight Clear,
481,Crime Thriller,6934000,Giovanni Ribisi,David Lynch,,1997-02-21,Lost Highway,David Lynch
482,Action Thriller,199105300,Jeremy Irons/Samuel L. Jackson/Bruce Willis,John McTiernan,Michael Tadross,1995-05-19,Die Hard: With A Vengeance,Jonathan Hensleigh
483,Music Drama,104870400,Jamie Foxx,Taylor Hackford,Taylor Hackford,2004-10-29,Ray,
484,Comedy,39635900,Owen Wilson/Leslie Mann,Steven Brill,Judd Apatow/Richard Vane,2008-03-21,Drillbit Taylor,John Hughes/Seth Rogen
485,Period Drama,17414000,Judi Dench/Gerard Butler,John Madden,,1997-07-18,Mrs. Brown,
486,Comedy / Drama,3529800,Sam Rockwell/Clark Gregg,Clark Gregg,Tripp Vinson,2008-09-26,Choke,Clark Gregg
487,Thriller,252597000,Anthony Hopkins/Julianne Moore/Gary Oldman,Ridley Scott,Ridley Scott,2001-02-09,Hannibal,David Mamet/Steven Zaillian
488,Animation,363979400,Craig T. Nelson/Holly Hunter/Samuel L. Jackson,Brad Bird,John Lasseter,2004-11-05,The Incredibles,Brad Bird
489,Music Drama,80689700,Richard Gere/Jennifer Lopez/Susan Sarandon/Stanley Tucci,Peter Chelsom,Simon Fields,2004-10-15,Shall We Dance,Audrey Wells
490,Action Thriller,93225300,Natalie Portman/Hugo Weaving,James McTeigue,Joel Silver/Lilly &amp; Lana Wachowski,2006-03-17,V for Vendetta,Lilly &amp; Lana Wachowski
491,Family Comedy,72083000,Frankie Muniz/Amanda Bynes/Paul Giamatti,Shawn Levy,Brian Robbins/Michael Tollin,2002-02-08,Big Fat Liar,
492,Horror Comedy,18885900,Simon Pegg/Nick Frost,Edgar Wright,Tim Bevan/Eric Fellner,2004-09-24,Shaun of the Dead,Simon Pegg/Edgar Wright
