,a_exp,a_score,a_star,d_exp,d_score,da_coop,dp_coop,pw_coop,title
1246,3.0,269.697375,0,0.0,0.0,0.0,0.0,0.0,Anchorman: The Legend of Ron Burgundy
1247,1.3333333333333333,1915.2998333333335,3,1.0,1080.4794,0.3333333333333333,6.0,3.0,Angels & Demons
1248,5.0,761.3834333333333,2,4.0,411.6471,0.0,0.0,0.0,Anger Management
1249,2.0,1075.0108,1,0.0,0.0,0.0,0.0,0.0,The Animal
1250,1.5,72.04115,0,1.0,449.2633,0.0,0.5,0.0,Anonymous
1251,3.0,902.1087500000001,1,3.0,19.4159,1.0,0.0,0.0,Another Year
1252,1.25,629.6033,0,0.0,271.8477,0.0,0.0,0.0,Ant-Man
1253,3.0,707.67375,1,0.0,0.0,0.0,0.0,0.0,Antwone Fisher
1254,8.333333333333334,645.2335333333334,1,14.0,185.6235,0.0,0.0,0.0,Anything Else
1255,0.3333333333333333,407.3156333333333,0,0.0,0.0,0.0,0.0,0.0,The Apparition
1256,1.0,143.223,0,0.0,0.0,0.0,0.0,0.0,Aquamarine
1257,2.5,385.40925000000004,0,3.0,125.9691,0.0,0.2,0.0,Argo
1258,0.0,1004.8675499999999,1,1.0,24.3733,0.0,0.0,0.0,Armored
1259,0.5,242.276,0,0.0,444.4363,0.2,0.0,0.0,Around the World in 80 Days
1260,1.75,393.259875,0,0.0,0.0,0.0,0.0,0.0,Arthur
1261,0.0,70.7822,0,0.0,120.4102,0.0,0.0,0.0,Arthur and the Invisibles
1262,0.5,1047.46445,1,1.0,85.3109,0.0,0.0,0.0,Astro Boy
1263,1.0,24.3193,0,0.0,0.0,0.0,0.0,0.0,Attack the Block
1264,1.5,303.83702500000004,0,3.0,734.727,1.0,0.0,0.0,Austin Powers in Goldmember
1265,1.5,1357.3656,1,0.0,0.0,0.5,0.0,0.0,Australia
1266,8.5,2037.260675,4,3.0,700.2618,0.5333333333333333,1.0,1.0,Avengers: Age of Ultron
1267,2.75,838.2051499999999,2,4.0,293.2726,0.2,0.3333333333333333,0.0,The Aviator
1268,4.5,602.7866,0,0.0,456.2749,0.0,0.0,0.0,Away We Go
1269,0.0,0.0,0,4.0,276.846,0.0,0.0,0.0,Baby Boy
1270,6.0,1071.0418,1,4.0,765.8986,1.0,4.0,0.0,Bad Boys II
1271,3.5,1203.96365,1,4.0,1225.4581,0.0,0.0,0.0,Bad Company
1272,4.0,1003.9625333333333,1,0.0,0.0,0.0,0.0,0.0,Bad Lieutenant: Port of Call New Orleans
1273,5.0,723.241,0,2.0,152.6088,0.0,0.0,0.0,Bad News Bears
1274,3.0,1020.0608333333333,1,3.0,84.1025,0.0,0.0,0.0,Bad Teacher
1275,3.0,159.4797,0,0.0,0.0,0.0,0.0,0.0,Bait
1276,6.0,1147.4054333333333,1,6.0,617.9194,0.0,0.0,0.0,Bandits
1277,1.3333333333333333,234.54886666666667,0,0.0,0.0,0.0,0.0,0.0,Barbershop
1278,2.0,851.9569749999999,2,0.0,139.4802,0.0,0.6666666666666666,0.16666666666666666,Batman Begins
1279,0.0,62.9018,0,0.0,0.0,0.0,0.0,0.0,Battle of the Year
1280,2.25,753.0728750000001,1,0.0,46.7488,0.0,0.0,0.0,Battle: Los Angeles
1281,0.0,32.528875,0,1.0,488.7331,0.0,1.0,0.0,Battleship
1282,5.0,956.4636999999999,1,2.0,399.1904,0.0,0.0,0.0,Be Cool
1283,1.0,672.9013,1,1.0,44.6893,0.0,0.0,0.0,The Beach
1284,0.0,4.726100000000001,0,0.0,0.0,0.0,0.0,0.0,Beastly
1285,2.75,382.20302499999997,0,1.0,117.759,0.0,0.6,0.8,Beautiful Creatures
1286,1.75,469.75374999999997,1,3.0,1010.6598,0.16666666666666666,6.0,0.0,A Beautiful Mind
1287,1.75,462.2897,0,0.0,0.0,0.0,0.0,0.0,The Beaver
1288,1.0,22.9182,0,3.0,189.6141,0.0,0.0,0.0,Bedazzled
1289,0.75,603.3793000000001,1,0.0,607.5345,0.0,1.0,3.0,Bedtime Stories
1290,1.0,1051.8941,1,0.0,0.0,0.0,0.0,0.0,Bee Movie
1291,2.5,221.61985,0,1.0,52.7009,1.5,4.0,0.0,Before Sunset
1292,1.25,711.43935,1,1.0,1.795,0.0,0.0,0.0,Beginners
1293,2.0,708.1046,1,0.0,0.0,0.0,0.0,0.0,Behind Enemy Lines
1294,3.0,374.445225,1,5.0,496.0842,0.25,1.0,0.0,The Benchwarmers
1295,0.5,1257.3148,2,1.0,1029.3986,0.0,0.0,0.0,Beowulf
1296,3.25,810.2985000000001,1,1.0,49.2859,0.0,0.0,0.0,The Best Exotic Marigold Hotel
1297,4.0,156.15215,0,2.0,16.8483,0.5,0.0,0.0,Best in Show
1298,4.0,411.11999999999995,0,4.0,147.5031,0.0,0.0,0.0,The Best Man Holiday
1299,1.3333333333333333,807.0550666666667,1,0.0,15.6672,0.0,0.0,0.16666666666666666,The Best of Me
1300,3.25,604.69475,1,7.0,417.0625,0.0,0.0,0.21428571428571427,Bewitched
1301,0.0,307.2755,0,0.0,525.3265,0.0,0.0,0.0,Beyond Borders
1302,1.0,561.8559,0,1.0,45.537,0.0,0.0,0.0,Beyond the Lights
1303,2.3333333333333335,360.49333333333334,1,0.0,0.0,0.0,0.0,0.0,Big Fat Liar
1304,1.5,391.62280000000004,1,1.0,871.5066,0.6,0.0,0.0,Big Fish
1305,0.0,675.0957,0,0.5,68.4419,0.0,0.5,0.0,Big Hero 6
1306,1.6666666666666667,659.8409333333333,0,1.0,216.9598,0.6666666666666666,0.0,0.0,Big Miracle
1307,3.75,362.21455,1,1.0,57.5116,0.0,0.0,0.0,Big Momma's House
1308,4.0,268.804075,0,2.0,100.488,0.0,0.0,0.0,Big Momma's House 2
1309,4.0,318.100275,0,5.0,239.617,0.25,1.0,1.0,"Big Mommas: Like Father, Like Son"
1310,4.75,1635.64975,3,0.0,698.8888,0.3333333333333333,0.0,0.0,The Big Short
1311,2.5,672.242925,2,5.0,1147.1516,0.14285714285714285,0.0,0.0,Big Trouble
1312,7.5,671.874,0,0.0,0.0,0.0,0.0,0.0,The Big Wedding
1313,8.75,1285.4074249999999,2,2.0,331.7562,0.2,0.6666666666666666,0.0,The Big Year
1314,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Billy Elliot
1315,7.0,846.24685,0,2.0,67.2698,0.16666666666666666,0.0,0.0,Birdman
1316,1.75,309.64462499999996,0,1.0,564.9446,0.0,0.0,0.0,The Black Dahlia
1317,3.0,1029.386,1,1.0,54.7764,0.0,0.0,0.0,Black Mass
1318,6.5,676.54755,0,2.0,50.0966,0.5,0.0,0.0,Black or White
1319,2.0,1344.1388333333332,1,0.0,29.9963,0.0,0.5,0.5,Black Snake Moan
1320,1.6666666666666667,810.7167666666666,1,1.0,49.653,0.0,0.0,0.0,Black Swan
1321,2.5,1321.09255,1,0.0,337.4699,0.0,0.0,0.0,Blackhat
1322,1.0,228.48365,0,1.0,48.0743,0.0,0.0,0.3333333333333333,Blade II
1323,1.0,242.04747500000002,0,0.0,0.0,0.0,0.0,0.6666666666666666,Blade: Trinity
1324,3.25,598.18815,1,0.0,0.0,0.0,0.0,0.0,Blades of Glory
1325,10.333333333333334,830.3545,1,2.0,351.4944,0.3333333333333333,1.5,0.0,Blended
1326,2.6666666666666665,606.8056333333334,1,1.0,112.6844,0.0,0.0,0.0,The Blind Side
1327,1.0,1229.45245,1,0.0,190.7355,0.0,0.0,0.0,Blood Diamond
1328,4.0,689.6027,0,3.0,522.9481,0.0,0.0,0.0,Blood Work
1329,2.5,444.33759999999995,0,0.0,0.0,0.0,0.0,0.0,BloodRayne
1330,0.0,163.67365,0,0.0,0.0,0.0,0.0,0.0,Blue Crush
1331,5.333333333333333,923.4293666666666,1,2.0,406.3412,0.3333333333333333,0.0,0.0,Body of Lies
1332,0.0,455.3323666666667,0,0.0,0.0,0.0,0.0,0.0,Bolt
1333,0.0,0.0,0,1.0,142.3102,0.0,0.0,0.0,Bones
1334,1.5,930.64555,2,0.0,48.348,0.0,0.0,0.0,The Book of Eli
